Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
119,Entry short,2020-10-08 08:45,ORB Short C (2c) S:61 H:0 T1:FVG T2:CTF S&R,11512.75,2,46051,-193,-0.42,100,0.22,-222,-0.48,9665.5,0.97
120,Exit long,2020-10-12 10:40,L-TP1,12035,4,95632,648,0.68,648,0.68,-6,-0.01,10313.5,1.03
120,Entry long,2020-10-12 09:50,ORB Long B+ (4c) S:80 H:30 T1:Round T2:Round,11954,4,95632,648,0.68,648,0.68,-6,-0.01,10313.5,1.03
121,Exit long,2020-10-13 11:10,L-TP1,12116.75,4,97334,-400,-0.41,118,0.12,-400,-0.41,9913.5,0.99
121,Entry long,2020-10-13 10:20,ORB Long B+ (4c) S:80 H:30 T1:FVG T2:CTF S&R,12166.75,4,97334,-400,-0.41,118,0.12,-400,-0.41,9913.5,0.99
122,Exit short,2020-10-14 10:45,S-TP1,12010,3,72321,261,0.36,261,0.36,-306,-0.42,10174.5,1.02
122,Entry short,2020-10-14 09:25,ORB Short B (3c) S:75 H:0 T1:Round T2:Round,12053.5,3,72321,261,0.36,261,0.36,-306,-0.42,10174.5,1.02
123,Exit long,2020-10-15 09:05,L-TP1,11825.75,4,95006,-400,-0.42,34,0.04,-400,-0.42,9774.5,0.98
123,Entry long,2020-10-15 08:50,ORB Long A (4c) S:86 H:25 T1:FVG T2:CTF S&R,11875.75,4,95006,-400,-0.42,34,0.04,-400,-0.42,9774.5,0.98
124,Exit long,2020-10-20 09:45,L-TP1,11653.25,4,93626,-400,-0.43,268,0.29,-400,-0.43,9374.5,0.94
124,Entry long,2020-10-20 08:55,ORB Long A+ (4c) S:98 H:25 T1:CTF S&R T2:CTF S&R,11703.25,4,93626,-400,-0.43,268,0.29,-400,-0.43,9374.5,0.94
125,Exit long,2020-10-20 12:35,L-TP1,11785,4,93868,412,0.44,412,0.44,-336,-0.36,9786.5,0.98
125,Entry long,2020-10-20 11:30,ORB Long A+ (4c) S:103 H:25 T1:Round T2:CTF S&R (2x),11733.5,4,93868,412,0.44,412,0.44,-336,-0.36,9786.5,0.98
126,Exit long,2020-10-21 09:55,L-TP1,11694.25,4,93982,-428,-0.46,252,0.27,-428,-0.46,9358.5,0.94
126,Entry long,2020-10-21 08:45,ORB Long A (4c) S:86 H:25 T1:Round T2:CTF S&R (2x),11747.75,4,93982,-428,-0.46,252,0.27,-428,-0.46,9358.5,0.94
127,Exit short,2020-10-27 09:45,S-TP1,11553,3,68973,-345,-0.50,37.5,0.05,-345,-0.50,9013.5,0.90
127,Entry short,2020-10-27 09:20,ORB Short B+ (3c) S:82 H:30 T1:FVG T2:PDL,11495.5,3,68973,-345,-0.50,37.5,0.05,-345,-0.50,9013.5,0.90
128,Exit long,2020-10-29 09:00,L-TP1,11286.25,3,67477.5,240,0.36,240,0.36,-39,-0.06,9253.5,0.93
128,Entry long,2020-10-29 08:50,ORB Long B (3c) S:75 H:0 T1:Round T2:Round,11246.25,3,67477.5,240,0.36,240,0.36,-39,-0.06,9253.5,0.93
129,Exit short,2020-10-30 09:25,S-TP1,11065,3,66862.5,472.5,0.71,472.5,0.71,-273,-0.41,9726,0.97
129,Entry short,2020-10-30 08:45,ORB Short A (3c) S:91 H:30 T1:Round T2:CTF S&R,11143.75,3,66862.5,472.5,0.71,472.5,0.71,-273,-0.41,9726,0.97
130,Exit long,2020-11-02 09:05,L-TP1,11148,3,67197,-309,-0.46,75,0.11,-309,-0.46,9417,0.94
130,Entry long,2020-11-02 08:50,ORB Long B (3c) S:75 H:0 T1:CTF S&R T2:PDH,11199.5,3,67197,-309,-0.46,75,0.11,-309,-0.46,9417,0.94
131,Exit short,2020-11-02 10:35,S-TP1,11057.75,3,66645,298.5,0.45,298.5,0.45,-1.5,0.00,9715.5,0.97
131,Entry short,2020-11-02 10:10,ORB Short A (3c) S:94 H:30 T1:FVG T2:Weekly Low,11107.5,3,66645,298.5,0.45,298.5,0.45,-1.5,0.00,9715.5,0.97
132,Exit long,2020-11-05 09:10,L-TP1,12105,3,72343.5,286.5,0.40,286.5,0.40,-4.5,-0.01,10002,1.00
132,Entry long,2020-11-05 08:45,ORB Long A+ (3c) S:105 H:30 T1:CTF S&R T2:HTF S&R (48x),12057.25,3,72343.5,286.5,0.40,286.5,0.40,-4.5,-0.01,10002,1.00
133,Exit long,2020-11-05 11:15,L-TP1,12013.75,3,72424.5,-342,-0.47,60,0.08,-342,-0.47,9660,0.97
133,Entry long,2020-11-05 09:55,ORB Long A (3c) S:91 H:30 T1:Round T2:HTF S&R (48x),12070.75,3,72424.5,-342,-0.47,60,0.08,-342,-0.47,9660,0.97
134,Exit long,2020-11-05 13:40,L-TP1,12096.75,4,96454,320,0.33,320,0.33,-74,-0.08,9980,1.00
134,Entry long,2020-11-05 12:40,ORB Long A (4c) S:94 H:30 T1:CTF S&R T2:HTF S&R (48x),12056.75,4,96454,320,0.33,320,0.33,-74,-0.08,9980,1.00
135,Exit short,2020-11-06 09:10,S-TP1,11960.25,2,47599,-242,-0.51,47,0.10,-242,-0.51,9738,0.97
135,Entry short,2020-11-06 08:55,ORB Short C (2c) S:61 H:0 T1:Round T2:PDL,11899.75,2,47599,-242,-0.51,47,0.10,-242,-0.51,9738,0.97
136,Exit long,2020-11-06 12:15,L-TP1,12093.75,4,96398,352,0.37,352,0.37,-210,-0.22,10090,1.01
136,Entry long,2020-11-06 10:35,ORB Long B+ (4c) S:80 H:30 T1:CTF S&R (2x) T2:HTF S&R (48x),12049.75,4,96398,352,0.37,352,0.37,-210,-0.22,10090,1.01
137,Exit long,2020-11-09 09:35,L-TP1,12201,4,98036,-428,-0.44,50,0.05,-428,-0.44,9662,0.97
137,Entry long,2020-11-09 09:15,ORB Long B+ (4c) S:80 H:30 T1:FVG T2:CTF S&R,12254.5,4,98036,-428,-0.44,50,0.05,-428,-0.44,9662,0.97
138,Exit long,2020-11-11 11:10,L-TP1,11886.25,4,94594,496,0.52,496,0.52,-394,-0.42,10158,1.02
138,Entry long,2020-11-11 09:25,ORB Long A (4c) S:86 H:25 T1:PDH T2:CTF S&R,11824.25,4,94594,496,0.52,496,0.52,-394,-0.42,10158,1.02
139,Exit long,2020-11-16 10:00,L-TP1,12021.75,4,95854,320,0.33,320,0.33,-232,-0.24,10478,1.05
139,Entry long,2020-11-16 09:05,ORB Long A (4c) S:91 H:30 T1:FVG T2:CTF S&R,11981.75,4,95854,320,0.33,320,0.33,-232,-0.24,10478,1.05
140,Exit long,2020-11-16 12:40,L-TP1,11932,4,95856,-400,-0.42,12,0.01,-400,-0.42,10078,1.01
140,Entry long,2020-11-16 11:40,ORB Long A (4c) S:94 H:30 T1:FVG T2:CTF S&R,11982,4,95856,-400,-0.42,12,0.01,-400,-0.42,10078,1.01
141,Exit long,2020-11-18 13:15,L-TP1,11947.5,2,47990,-200,-0.42,121,0.25,-200,-0.42,9878,0.99
141,Entry long,2020-11-18 10:55,ORB Long C+ (2c) S:68 H:25 T1:Round T2:PDH,11997.5,2,47990,-200,-0.42,121,0.25,-200,-0.42,9878,0.99
142,Exit long,2020-11-19 09:35,L-TP1,11936,4,95168,320,0.34,320,0.34,-104,-0.11,10198,1.02
142,Entry long,2020-11-19 08:45,ORB Long B+ (4c) S:84 H:25 T1:FVG T2:PDH,11896,4,95168,320,0.34,320,0.34,-104,-0.11,10198,1.02
143,Exit long,2020-11-24 10:15,L-TP1,12012.75,3,71823,253.5,0.35,253.5,0.35,-42,-0.06,10451.5,1.05
143,Entry long,2020-11-24 09:40,ORB Long B (3c) S:70 H:25 T1:CTF S&R T2:Weekly High,11970.5,3,71823,253.5,0.35,253.5,0.35,-42,-0.06,10451.5,1.05
144,Exit long,2020-12-01 10:25,L-TP1,12435,4,99106,374,0.38,374,0.38,-306,-0.31,10825.5,1.08
144,Entry long,2020-12-01 08:50,ORB Long A (4c) S:89 H:30 T1:Round T2:HTF S&R (48x),12388.25,4,99106,374,0.38,374,0.38,-306,-0.31,10825.5,1.08
145,Exit long,2020-12-02 10:50,L-TP1,12453.25,3,74479.5,240,0.32,240,0.32,-88.5,-0.12,11065.5,1.11
