Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
302,Entry long,2021-10-29 08:50,ORB Long A (4c) S:91 H:30 T1:FVG T2:PDH,15683.75,4,125470,324,0.26,324,0.26,-132,-0.11,20160.5,2.02
303,Exit short,2021-11-01 10:45,S-TP1,15854.75,3,94825.5,-303,-0.32,213,0.22,-303,-0.32,19857.5,1.99
303,Entry short,2021-11-01 08:45,ORB Short B (3c) S:73 H:0 T1:FVG T2:CTF S&R,15804.25,3,94825.5,-303,-0.32,213,0.22,-303,-0.32,19857.5,1.99
304,Exit long,2021-11-02 09:10,L-TP1,15909.25,4,127674,-400,-0.31,72,0.06,-400,-0.31,19457.5,1.95
304,Entry long,2021-11-02 08:45,ORB Long A (4c) S:89 H:30 T1:Round T2:Round,15959.25,4,127674,-400,-0.31,72,0.06,-400,-0.31,19457.5,1.95
305,Exit long,2021-11-02 15:55,EOD Close,15958.75,4,127620,50,0.04,222,0.17,-376,-0.29,19507.5,1.95
305,Entry long,2021-11-02 09:30,ORB Long A (4c) S:89 H:30 T1:Round T2:Round,15952.5,4,127620,50,0.04,222,0.17,-376,-0.29,19507.5,1.95
306,Exit long,2021-11-03 13:10,L-TP1,15988,4,128304,-400,-0.31,96,0.07,-400,-0.31,19107.5,1.91
306,Entry long,2021-11-03 13:00,ORB Long A (4c) S:89 H:30 T1:Round T2:Round,16038,4,128304,-400,-0.31,96,0.07,-400,-0.31,19107.5,1.91
307,Exit long,2021-11-04 09:15,L-TP1,16285,4,129804,476,0.37,476,0.37,-44,-0.03,19583.5,1.96
307,Entry long,2021-11-04 08:45,ORB Long A (4c) S:89 H:30 T1:Round T2:Round,16225.5,4,129804,476,0.37,476,0.37,-44,-0.03,19583.5,1.96
308,Exit short,2021-11-05 12:10,S-TP1,16344.5,2,65538,160,0.24,160,0.24,-49,-0.07,19743.5,1.97
308,Entry short,2021-11-05 11:45,ORB Short C (2c) S:64 H:0 T1:FVG T2:CTF S&R,16384.5,2,65538,160,0.24,160,0.24,-49,-0.07,19743.5,1.97
309,Exit short,2021-11-08 13:15,S-TP1,16375,3,97950,-300,-0.31,135,0.14,-300,-0.31,19443.5,1.94
309,Entry short,2021-11-08 09:00,ORB Short B (3c) S:73 H:0 T1:CTF S&R T2:CTF S&R,16325,3,97950,-300,-0.31,135,0.14,-300,-0.31,19443.5,1.94
310,Exit long,2021-11-10 08:55,L-TP1,16178,4,129102,322,0.25,322,0.25,-198,-0.15,19765.5,1.98
310,Entry long,2021-11-10 08:45,ORB Long A (4c) S:86 H:25 T1:FVG T2:CTF S&R,16137.75,4,129102,322,0.25,322,0.25,-198,-0.15,19765.5,1.98
311,Exit long,2021-11-12 10:05,L-TP1,16135,3,96520.5,289.5,0.30,289.5,0.30,-25.5,-0.03,20055,2.01
311,Entry long,2021-11-12 09:45,ORB Long B (3c) S:72 H:25 T1:Round T2:CTF S&R (2x),16086.75,3,96520.5,289.5,0.30,289.5,0.30,-25.5,-0.03,20055,2.01
312,Exit long,2021-11-16 15:55,EOD Close,16293.25,4,130042,304,0.23,548,0.42,-78,-0.06,20359,2.04
312,Entry long,2021-11-16 10:00,ORB Long B+ (4c) S:80 H:30 T1:Round T2:HTF S&R (48x),16255.25,4,130042,304,0.23,548,0.42,-78,-0.06,20359,2.04
313,Exit long,2021-11-18 09:10,L-TP1,16362.25,4,131298,-400,-0.30,54,0.04,-400,-0.30,19959,2.00
313,Entry long,2021-11-18 08:45,ORB Long A (4c) S:89 H:30 T1:Round T2:Round,16412.25,4,131298,-400,-0.30,54,0.04,-400,-0.30,19959,2.00
314,Exit long,2021-11-18 11:25,L-TP1,16485,4,131444,436,0.33,436,0.33,-74,-0.06,20395,2.04
314,Entry long,2021-11-18 10:30,ORB Long B+ (4c) S:80 H:30 T1:Round T2:Round,16430.5,4,131444,436,0.33,436,0.33,-74,-0.06,20395,2.04
315,Exit long,2021-11-19 15:55,EOD Close,16588.25,4,132640,66,0.05,388,0.29,-370,-0.28,20461,2.05
315,Entry long,2021-11-19 08:45,ORB Long A (4c) S:91 H:30 T1:Round T2:Round,16580,4,132640,66,0.05,388,0.29,-370,-0.28,20461,2.05
316,Exit long,2021-11-22 10:00,L-TP1,16680,4,133840,-400,-0.30,300,0.22,-400,-0.30,20061,2.01
316,Entry long,2021-11-22 08:45,ORB Long A (4c) S:89 H:30 T1:Round T2:Round,16730,4,133840,-400,-0.30,300,0.22,-400,-0.30,20061,2.01
317,Exit long,2021-11-23 09:05,L-TP1,16350,4,131224,-424,-0.32,126,0.10,-424,-0.32,19637,1.96
317,Entry long,2021-11-23 08:45,ORB Long B+ (4c) S:84 H:25 T1:Round T2:CTF S&R,16403,4,131224,-424,-0.32,126,0.10,-424,-0.32,19637,1.96
318,Exit long,2021-11-24 09:10,L-TP1,16164.5,3,97350,-363,-0.37,96,0.10,-363,-0.37,19274,1.93
318,Entry long,2021-11-24 09:00,ORB Long B+ (3c) S:84 H:25 T1:FVG T2:PDH,16225,3,97350,-363,-0.37,96,0.10,-363,-0.37,19274,1.93
319,Exit long,2021-11-24 10:15,L-TP1,16289,2,64940,216,0.33,216,0.33,-104,-0.16,19490,1.95
319,Entry long,2021-11-24 09:20,ORB Long B (2c) S:72 H:25 T1:FVG+Round T2:PDH,16235,2,64940,216,0.33,216,0.33,-104,-0.16,19490,1.95
320,Exit long,2021-11-29 09:30,L-TP1,16243,3,97788,-330,-0.34,97.5,0.10,-330,-0.34,19160,1.92
320,Entry long,2021-11-29 08:55,ORB Long A+ (3c) S:103 H:30 T1:CTF S&R T2:HTF S&R (48x),16298,3,97788,-330,-0.34,97.5,0.10,-330,-0.34,19160,1.92
321,Exit long,2021-11-29 10:35,L-TP1,16334.75,3,97740,268.5,0.27,268.5,0.27,-43.5,-0.04,19428.5,1.94
321,Entry long,2021-11-29 10:05,ORB Long A+ (3c) S:103 H:30 T1:CTF S&R T2:HTF S&R (48x),16290,3,97740,268.5,0.27,268.5,0.27,-43.5,-0.04,19428.5,1.94
322,Exit long,2021-11-30 09:00,L-TP1,16435.5,3,98337,276,0.28,276,0.28,-18,-0.02,19704.5,1.97
322,Entry long,2021-11-30 08:50,ORB Long A (3c) S:86 H:25 T1:HTF S&R (48x) T2:Round,16389.5,3,98337,276,0.28,276,0.28,-18,-0.02,19704.5,1.97
323,Exit long,2021-12-01 09:20,L-TP1,16315.5,3,98229,-336,-0.34,36,0.04,-336,-0.34,19368.5,1.94
323,Entry long,2021-12-01 09:05,ORB Long B+ (3c) S:82 H:30 T1:CTF S&R T2:PDH,16371.5,3,98229,-336,-0.34,36,0.04,-336,-0.34,19368.5,1.94
324,Exit long,2021-12-01 10:10,L-TP1,16404.25,2,65427,190,0.29,190,0.29,-39,-0.06,19558.5,1.96
324,Entry long,2021-12-01 09:45,ORB Long B (2c) S:77 H:30 T1:CTF S&R (2x) T2:HTF S&R (48x),16356.75,2,65427,190,0.29,190,0.29,-39,-0.06,19558.5,1.96
325,Exit long,2021-12-01 11:50,L-TP1,16312.75,4,130902,-400,-0.31,102,0.08,-400,-0.31,19158.5,1.92
325,Entry long,2021-12-01 11:00,ORB Long B+ (4c) S:80 H:30 T1:CTF S&R (2x) T2:HTF S&R (48x),16362.75,4,130902,-400,-0.31,102,0.08,-400,-0.31,19158.5,1.92
326,Exit short,2021-12-01 12:40,S-TP1,16181.75,2,64972,245,0.38,245,0.38,-152,-0.23,19403.5,1.94
326,Entry short,2021-12-01 11:55,ORB Short C (2c) S:64 H:0 T1:CTF S&R T2:PDL,16243,2,64972,245,0.38,245,0.38,-152,-0.23,19403.5,1.94
327,Exit short,2021-12-03 08:50,S-TP1,15841.5,3,95502,453,0.47,453,0.47,-165,-0.17,19856.5,1.99
327,Entry short,2021-12-03 08:45,ORB Short A (3c) S:89 H:30 T1:CTF S&R T2:PDL,15917,3,95502,453,0.47,453,0.47,-165,-0.17,19856.5,1.99
328,Exit long,2021-12-08 12:45,L-TP1,16377.25,3,98013,250.5,0.26,250.5,0.26,-141,-0.14,20107,2.01
328,Entry long,2021-12-08 11:40,ORB Long B (3c) S:73 H:30 T1:FVG T2:HTF S&R (48x),16335.5,3,98013,250.5,0.26,250.5,0.26,-141,-0.14,20107,2.01
329,Exit short,2021-12-13 09:25,S-TP1,16194.5,2,65041,263,0.40,263,0.40,-207,-0.32,20370,2.04
329,Entry short,2021-12-13 08:50,ORB Short B (2c) S:73 H:0 T1:FVG T2:PDL,16260.25,2,65041,263,0.40,263,0.40,-207,-0.32,20370,2.04
330,Exit short,2021-12-15 11:05,S-TP1,15761,2,63325,281,0.44,281,0.44,-315,-0.50,20651,2.07
330,Entry short,2021-12-15 08:45,ORB Short A (2c) S:89 H:30 T1:Round T2:Round,15831.25,2,63325,281,0.44,281,0.44,-315,-0.50,20651,2.07
331,Exit short,2021-12-20 11:15,S-TP1,15595.5,2,62072,-310,-0.50,105,0.17,-310,-0.50,20341,2.03
331,Entry short,2021-12-20 10:00,ORB Short B+ (2c) S:80 H:30 T1:Round T2:2R ORB,15518,2,62072,-310,-0.50,105,0.17,-310,-0.50,20341,2.03
332,Exit short,2021-12-20 13:05,S-TP1,15601.5,3,93184.5,-424.5,-0.46,142.5,0.15,-424.5,-0.46,19916.5,1.99
332,Entry short,2021-12-20 11:30,ORB Short B+ (3c) S:80 H:30 T1:Round T2:Round,15530.75,3,93184.5,-424.5,-0.46,142.5,0.15,-424.5,-0.46,19916.5,1.99
333,Exit short,2021-12-21 09:25,S-TP1,15615,3,94110,420,0.45,420,0.45,-145.5,-0.15,20336.5,2.03
333,Entry short,2021-12-21 08:45,ORB Short A (3c) S:89 H:30 T1:Round T2:HTF S&R (48x),15685,3,94110,420,0.45,420,0.45,-145.5,-0.15,20336.5,2.03
334,Exit long,2021-12-27 10:10,L-TP1,16535,2,65830,310,0.47,310,0.47,-25,-0.04,20646.5,2.06
334,Entry long,2021-12-27 09:00,ORB Long A (2c) S:89 H:30 T1:Round T2:Round,16457.5,2,65830,310,0.47,310,0.47,-25,-0.04,20646.5,2.06
335,Exit short,2021-12-28 13:00,S-TP1,16454.75,2,66080,261,0.39,261,0.39,-259,-0.39,20907.5,2.09
335,Entry short,2021-12-28 09:05,ORB Short B (2c) S:73 H:0 T1:FVG T2:FVG,16520,2,66080,261,0.39,261,0.39,-259,-0.39,20907.5,2.09
336,Exit long,2021-12-30 14:40,L-TP1,16463.75,3,99229.5,-447,-0.45,175.5,0.18,-447,-0.45,20460.5,2.05
336,Entry long,2021-12-30 09:05,ORB Long A (3c) S:89 H:30 T1:Round T2:CTF S&R,16538.25,3,99229.5,-447,-0.45,175.5,0.18,-447,-0.45,20460.5,2.05
337,Exit short,2022-01-06 09:15,S-TP1,15727.25,2,62565,-344,-0.55,171,0.27,-344,-0.55,20116.5,2.01
337,Entry short,2022-01-06 09:00,ORB Short A (2c) S:89 H:30 T1:Round T2:HTF S&R (48x),15641.25,2,62565,-344,-0.55,171,0.27,-344,-0.55,20116.5,2.01
338,Exit short,2022-01-07 09:45,S-TP1,15565,2,62628,368,0.59,368,0.59,-122,-0.19,20484.5,2.05
338,Entry short,2022-01-07 09:20,ORB Short B+ (2c) S:80 H:30 T1:Round T2:HTF S&R (48x),15657,2,62628,368,0.59,368,0.59,-122,-0.19,20484.5,2.05
339,Exit short,2022-01-10 09:10,S-TP1,15212.5,2,61156,306,0.50,306,0.50,-16,-0.03,20790.5,2.08
339,Entry short,2022-01-10 08:50,ORB Short A+ (2c) S:105 H:30 T1:Round T2:Round,15289,2,61156,306,0.50,306,0.50,-16,-0.03,20790.5,2.08
340,Exit short,2022-01-10 11:05,S-TP1,15231.75,4,122224,370,0.30,370,0.30,-212,-0.17,21160.5,2.12
340,Entry short,2022-01-10 10:35,ORB Short A (4c) S:94 H:30 T1:FVG T2:Round,15278,4,122224,370,0.30,370,0.30,-212,-0.17,21160.5,2.12
341,Exit short,2022-01-10 12:15,S-TP1,15327.5,4,122220,-400,-0.33,78,0.06,-400,-0.33,20760.5,2.08
341,Entry short,2022-01-10 11:55,ORB Short A (4c) S:94 H:30 T1:FVG T2:Round,15277.5,4,122220,-400,-0.33,78,0.06,-400,-0.33,20760.5,2.08
342,Exit long,2022-01-10 13:20,L-TP1,15477.75,2,61672,239,0.39,239,0.39,-105,-0.17,20999.5,2.10
342,Entry long,2022-01-10 12:50,ORB Long C (2c) S:64 H:0 T1:FVG T2:FVG,15418,2,61672,239,0.39,239,0.39,-105,-0.17,20999.5,2.10
343,Exit short,2022-01-12 10:05,S-TP1,15811.25,2,63544,299,0.47,299,0.47,-83,-0.13,21298.5,2.13
343,Entry short,2022-01-12 09:35,ORB Short B (2c) S:72 H:25 T1:Round T2:CTF S&R,15886,2,63544,299,0.47,299,0.47,-83,-0.13,21298.5,2.13
344,Exit short,2022-01-12 11:50,S-TP1,15943,3,95358,-300,-0.31,192,0.20,-300,-0.31,20998.5,2.10
344,Entry short,2022-01-12 10:40,ORB Short B (3c) S:75 H:25 T1:FVG T2:CTF S&R,15893,3,95358,-300,-0.31,192,0.20,-300,-0.31,20998.5,2.10
345,Exit short,2022-01-12 15:55,EOD Close,15895.25,3,95316,-55.5,-0.06,177,0.19,-205.5,-0.22,20943,2.09
345,Entry short,2022-01-12 12:50,ORB Short B+ (3c) S:82 H:25 T1:FVG T2:CTF S&R,15886,3,95316,-55.5,-0.06,177,0.19,-205.5,-0.22,20943,2.09
346,Exit short,2022-01-13 09:15,S-TP1,15835,2,63626,286,0.45,286,0.45,-33,-0.05,21229,2.12
346,Entry short,2022-01-13 09:00,ORB Short B (2c) S:77 H:25 T1:CTF S&R T2:PDL,15906.5,2,63626,286,0.45,286,0.45,-33,-0.05,21229,2.12
347,Exit long,2022-01-14 09:35,L-TP1,15471,1,31093.5,-151.5,-0.49,108.5,0.35,-151.5,-0.49,21077.5,2.11
347,Entry long,2022-01-14 08:50,ORB Long C (1c) S:61 H:0 T1:CTF S&R T2:HTF S&R (48x),15546.75,1,31093.5,-151.5,-0.49,108.5,0.35,-151.5,-0.49,21077.5,2.11
348,Exit short,2022-01-18 10:40,S-TP1,15332.5,2,61065,-265,-0.43,13,0.02,-265,-0.43,20812.5,2.08
348,Entry short,2022-01-18 10:30,ORB Short B (2c) S:77 H:30 T1:Round T2:Weekly Low,15266.25,2,61065,-265,-0.43,13,0.02,-265,-0.43,20812.5,2.08
349,Exit short,2022-01-18 14:35,S-TP1,15215,2,61080,220,0.36,220,0.36,-237,-0.39,21032.5,2.10
349,Entry short,2022-01-18 11:35,ORB Short B (2c) S:77 H:30 T1:Round T2:Weekly Low,15270,2,61080,220,0.36,220,0.36,-237,-0.39,21032.5,2.10
350,Exit long,2022-01-19 09:30,L-TP1,15264,2,61372,-316,-0.51,117,0.19,-316,-0.51,20716.5,2.07
350,Entry long,2022-01-19 08:50,ORB Long B (2c) S:73 H:0 T1:CTF S&R T2:Round,15343,2,61372,-316,-0.51,117,0.19,-316,-0.51,20716.5,2.07
351,Exit short,2022-01-19 10:10,S-TP1,15155,3,91281,351,0.38,351,0.38,-81,-0.09,21067.5,2.11
351,Entry short,2022-01-19 09:35,ORB Short A (3c) S:91 H:30 T1:FVG T2:CTF S&R+Round,15213.5,3,91281,351,0.38,351,0.38,-81,-0.09,21067.5,2.11
352,Exit long,2022-01-20 12:05,L-TP1,15197.5,1,30553.5,-158.5,-0.52,127.5,0.42,-158.5,-0.52,20909,2.09
352,Entry long,2022-01-20 08:55,ORB Long C+ (1c) S:68 H:0 T1:PDH T2:CTF S&R,15276.75,1,30553.5,-158.5,-0.52,127.5,0.42,-158.5,-0.52,20909,2.09
353,Exit short,2022-01-21 09:20,S-TP1,14565,2,58629,369,0.63,369,0.63,-118,-0.20,21278,2.13
353,Entry short,2022-01-21 08:50,ORB Short A (2c) S:89 H:30 T1:Round T2:Round,14657.25,2,58629,369,0.63,369,0.63,-118,-0.20,21278,2.13
354,Exit short,2022-01-21 11:05,S-TP1,14741.75,2,58640,-327,-0.56,16,0.03,-327,-0.56,20951,2.10
354,Entry short,2022-01-21 10:50,ORB Short B+ (2c) S:80 H:30 T1:Round T2:Round,14660,2,58640,-327,-0.56,16,0.03,-327,-0.56,20951,2.10
355,Exit short,2022-01-21 13:25,S-TP1,14565,2,58561,301,0.51,301,0.51,-241,-0.41,21252,2.13
355,Entry short,2022-01-21 11:15,ORB Short B+ (2c) S:80 H:30 T1:Round T2:HTF S&R (48x),14640.25,2,58561,301,0.51,301,0.51,-241,-0.41,21252,2.13
356,Exit short,2022-01-24 09:10,S-TP1,14015,2,56386,326,0.58,326,0.58,-287,-0.51,21578,2.16
356,Entry short,2022-01-24 08:55,ORB Short A (2c) S:89 H:30 T1:Round T2:Round,14096.5,2,56386,326,0.58,326,0.58,-287,-0.51,21578,2.16
357,Exit short,2022-01-24 10:05,S-TP1,14015,2,56439,379,0.67,379,0.67,-149,-0.26,21957,2.20
357,Entry short,2022-01-24 09:35,ORB Short B (2c) S:77 H:30 T1:Round T2:2R ORB,14109.75,2,56439,379,0.67,379,0.67,-149,-0.26,21957,2.20
358,Exit short,2022-01-25 10:15,S-TP1,14065,2,56735,475,0.84,475,0.84,-237,-0.42,22432,2.24
358,Entry short,2022-01-25 09:30,ORB Short A (2c) S:91 H:30 T1:Round T2:Round,14183.75,2,56735,475,0.84,475,0.84,-237,-0.42,22432,2.24
359,Exit short,2022-01-26 10:20,S-TP1,14448.75,2,57390,-405,-0.71,87,0.15,-405,-0.71,22027,2.20
359,Entry short,2022-01-26 09:40,ORB Short B (2c) S:72 H:25 T1:FVG T2:CTF S&R (2x),14347.5,2,57390,-405,-0.71,87,0.15,-405,-0.71,22027,2.20
360,Exit long,2022-01-27 09:25,L-TP1,14260.5,1,28734.5,-213.5,-0.74,85,0.30,-213.5,-0.74,21813.5,2.18
360,Entry long,2022-01-27 08:45,ORB Long C (1c) S:64 H:0 T1:Round T2:Round,14367.25,1,28734.5,-213.5,-0.74,85,0.30,-213.5,-0.74,21813.5,2.18
361,Exit short,2022-02-01 09:25,S-TP1,14863.5,2,59029,-425,-0.72,112,0.19,-425,-0.72,21388.5,2.14
361,Entry short,2022-02-01 09:00,ORB Short A+ (2c) S:98 H:25 T1:Round T2:2R ORB,14757.25,2,59029,-425,-0.72,112,0.19,-425,-0.72,21388.5,2.14
362,Exit short,2022-02-01 10:00,S-TP1,14865.75,2,59100,-363,-0.61,70,0.12,-363,-0.61,21025.5,2.10
362,Entry short,2022-02-01 09:40,ORB Short B+ (2c) S:84 H:25 T1:Round T2:Round,14775,2,59100,-363,-0.61,70,0.12,-363,-0.61,21025.5,2.10
363,Exit short,2022-02-02 15:05,S-TP1,14915,2,60190,530,0.88,530,0.88,-421,-0.70,21555.5,2.16
363,Entry short,2022-02-02 09:30,ORB Short B (2c) S:72 H:25 T1:Round T2:2R ORB,15047.5,2,60190,530,0.88,530,0.88,-421,-0.70,21555.5,2.16
364,Exit short,2022-02-03 14:30,S-TP1,14565,2,58666,406,0.69,406,0.69,-184,-0.31,21961.5,2.20
364,Entry short,2022-02-03 10:55,ORB Short B+ (2c) S:80 H:30 T1:Round T2:Round,14666.5,2,58666,406,0.69,406,0.69,-184,-0.31,21961.5,2.20
365,Exit long,2022-02-04 09:45,L-TP1,14511.25,1,29219.5,-197,-0.67,112.5,0.39,-197,-0.67,21764.5,2.18
365,Entry long,2022-02-04 09:00,ORB Long C+ (1c) S:68 H:0 T1:FVG T2:FVG,14609.75,1,29219.5,-197,-0.67,112.5,0.39,-197,-0.67,21764.5,2.18
366,Exit long,2022-02-04 12:00,L-TP1,14685,1,29171.5,198.5,0.68,198.5,0.68,-57.5,-0.20,21963,2.20
366,Entry long,2022-02-04 10:40,ORB Long C (1c) S:64 H:0 T1:Round T2:FVG,14585.75,1,29171.5,198.5,0.68,198.5,0.68,-57.5,-0.20,21963,2.20
367,Exit short,2022-02-07 11:35,S-TP1,14565,2,58638,378,0.64,378,0.64,-129,-0.22,22341,2.23
367,Entry short,2022-02-07 10:20,ORB Short B (2c) S:75 H:25 T1:Round T2:Round,14659.5,2,58638,378,0.64,378,0.64,-129,-0.22,22341,2.23
368,Exit short,2022-02-08 09:45,S-TP1,14573.25,2,57918,-375,-0.65,47,0.08,-375,-0.65,21966,2.20
368,Entry short,2022-02-08 09:00,ORB Short A (2c) S:89 H:30 T1:HTF S&R (48x) T2:Round,14479.5,2,57918,-375,-0.65,47,0.08,-375,-0.65,21966,2.20
369,Exit short,2022-02-11 10:35,S-TP1,14551.5,2,58556,350,0.60,350,0.60,-343,-0.59,22316,2.23
369,Entry short,2022-02-11 08:55,ORB Short A+ (2c) S:103 H:30 T1:CTF S&R T2:HTF S&R (48x),14639,2,58556,350,0.60,350,0.60,-343,-0.59,22316,2.23
370,Exit long,2022-02-14 09:00,L-TP1,14243.25,1,28662.5,-176,-0.61,3.5,0.01,-176,-0.61,22140,2.21
370,Entry long,2022-02-14 08:50,ORB Long C (1c) S:61 H:0 T1:Round T2:Round,14331.25,1,28662.5,-176,-0.61,3.5,0.01,-176,-0.61,22140,2.21
371,Exit short,2022-02-14 14:20,S-TP1,14269,2,56674,-402,-0.71,265,0.47,-402,-0.71,21738,2.17
371,Entry short,2022-02-14 12:50,ORB Short A (2c) S:94 H:30 T1:Round T2:Round,14168.5,2,56674,-402,-0.71,265,0.47,-402,-0.71,21738,2.17
372,Exit short,2022-02-15 12:20,S-TP1,14532,2,57732,-396,-0.69,9,0.02,-396,-0.69,21342,2.13
372,Entry short,2022-02-15 11:45,ORB Short B+ (2c) S:82 H:25 T1:FVG T2:FVG,14433,2,57732,-396,-0.69,9,0.02,-396,-0.69,21342,2.13
373,Exit short,2022-02-16 13:00,S-TP1,14499.5,2,57596,-402,-0.70,56,0.10,-402,-0.70,20940,2.09
373,Entry short,2022-02-16 08:50,ORB Short A (2c) S:86 H:25 T1:Round T2:PDL,14399,2,57596,-402,-0.70,56,0.10,-402,-0.70,20940,2.09
374,Exit short,2022-02-17 09:20,S-TP1,14365,2,57720,260,0.45,260,0.45,-6,-0.01,21200,2.12
374,Entry short,2022-02-17 08:45,ORB Short B (2c) S:79 H:25 T1:Round T2:Round,14430,2,57720,260,0.45,260,0.45,-6,-0.01,21200,2.12
375,Exit short,2022-02-18 10:55,S-TP1,13965,2,56264,404,0.72,404,0.72,-40,-0.07,21604,2.16
375,Entry short,2022-02-18 09:30,ORB Short B (2c) S:77 H:30 T1:Round T2:Round,14066,2,56264,404,0.72,404,0.72,-40,-0.07,21604,2.16
376,Exit short,2022-02-21 17:00,S-TP1,13700,3,82812,612,0.74,612,0.74,-145.5,-0.18,22216,2.22
376,Entry short,2022-02-21 09:45,ORB Short B+ (3c) S:80 H:30 T1:HTF S&R (96x)+Round T2:2R ORB,13802,3,82812,612,0.74,612,0.74,-145.5,-0.18,22216,2.22
377,Exit short,2022-02-22 12:50,S-TP1,13765,2,55412,352,0.64,352,0.64,-221,-0.40,22568,2.26
377,Entry short,2022-02-22 10:50,ORB Short B+ (2c) S:80 H:30 T1:Round T2:HTF S&R (96x)+Round,13853,2,55412,352,0.64,352,0.64,-221,-0.40,22568,2.26
378,Exit short,2022-02-23 09:25,S-TP1,13815,2,55587,327,0.59,327,0.59,-118,-0.21,22895,2.29
378,Entry short,2022-02-23 08:50,ORB Short A+ (2c) S:98 H:25 T1:Round T2:HTF S&R (96x)+Round,13896.75,2,55587,327,0.59,327,0.59,-118,-0.21,22895,2.29
379,Exit short,2022-02-25 09:20,S-TP1,13961.25,2,55470,-375,-0.68,142,0.26,-375,-0.68,22520,2.25
379,Entry short,2022-02-25 08:55,ORB Short A (2c) S:93 H:25 T1:CTF S&R T2:HTF S&R (96x)+Round,13867.5,2,55470,-375,-0.68,142,0.26,-375,-0.68,22520,2.25
380,Exit short,2022-03-01 10:35,S-TP1,14065,2,56606,346,0.61,346,0.61,-238,-0.42,22866,2.29
380,Entry short,2022-03-01 09:55,ORB Short B (2c) S:75 H:25 T1:Round T2:CTF S&R,14151.5,2,56606,346,0.61,346,0.61,-238,-0.42,22866,2.29
381,Exit short,2022-03-02 09:25,S-TP1,14095.25,2,55963,-418,-0.75,160,0.29,-418,-0.75,22448,2.24
381,Entry short,2022-03-02 09:05,ORB Short B+ (2c) S:84 H:25 T1:Round T2:CTF S&R,13990.75,2,55963,-418,-0.75,160,0.29,-418,-0.75,22448,2.24
382,Exit short,2022-03-03 09:35,S-TP1,14115,2,56972,512,0.90,512,0.90,-185,-0.32,22960,2.30
382,Entry short,2022-03-03 08:45,ORB Short B+ (2c) S:84 H:25 T1:Round T2:CTF S&R,14243,2,56972,512,0.90,512,0.90,-185,-0.32,22960,2.30
383,Exit short,2022-03-04 15:55,EOD Close,13802.75,2,55374,163,0.29,440,0.79,-430,-0.78,23123,2.31
383,Entry short,2022-03-04 08:45,ORB Short A (2c) S:91 H:30 T1:HTF S&R (96x)+Round T2:2R ORB,13843.5,2,55374,163,0.29,440,0.79,-430,-0.78,23123,2.31
384,Exit short,2022-03-08 09:50,S-TP1,13295.25,2,52732,-449,-0.85,236,0.45,-449,-0.85,22674,2.27
384,Entry short,2022-03-08 09:00,ORB Short A (2c) S:91 H:30 T1:Round T2:Round,13183,2,52732,-449,-0.85,236,0.45,-449,-0.85,22674,2.27
385,Exit short,2022-03-08 11:05,S-TP1,13322.75,2,52836,-455,-0.86,360,0.68,-455,-0.86,22219,2.22
385,Entry short,2022-03-08 10:20,ORB Short A (2c) S:91 H:30 T1:HTF S&R (48x) T2:2R ORB,13209,2,52836,-455,-0.86,360,0.68,-455,-0.86,22219,2.22
386,Exit short,2022-03-10 13:00,S-TP1,13584.5,2,53901,-437,-0.81,316,0.59,-437,-0.81,21782,2.18
386,Entry short,2022-03-10 09:30,ORB Short B (2c) S:77 H:30 T1:Round T2:Round,13475.25,2,53901,-437,-0.81,316,0.59,-437,-0.81,21782,2.18
387,Exit long,2022-03-10 15:55,EOD Close,13572.5,1,27195.5,-50.5,-0.19,75.5,0.28,-95.5,-0.35,21731.5,2.17
387,Entry long,2022-03-10 13:00,ORB Long C (1c) S:64 H:0 T1:Round T2:2R ORB,13597.75,1,27195.5,-50.5,-0.19,75.5,0.28,-95.5,-0.35,21731.5,2.17
388,Exit short,2022-03-11 09:20,S-TP1,13511.25,2,54407,362,0.67,362,0.67,-22,-0.04,22093.5,2.21
388,Entry short,2022-03-11 08:50,ORB Short A+ (2c) S:100 H:25 T1:Round T2:2R ORB,13601.75,2,54407,362,0.67,362,0.67,-22,-0.04,22093.5,2.21
389,Exit short,2022-03-14 11:50,S-TP1,13111.25,2,52802,357,0.68,357,0.68,-12,-0.02,22450.5,2.25
389,Entry short,2022-03-14 10:40,ORB Short A (2c) S:94 H:30 T1:Round T2:HTF S&R (48x),13200.5,2,52802,357,0.68,357,0.68,-12,-0.02,22450.5,2.25
390,Exit long,2022-03-15 10:10,L-TP1,13332.5,2,52867,463,0.88,463,0.88,-224,-0.42,22913.5,2.29
390,Entry long,2022-03-15 09:00,ORB Long B (2c) S:75 H:0 T1:CTF S&R T2:CTF S&R,13216.75,2,52867,463,0.88,463,0.88,-224,-0.42,22913.5,2.29
391,Exit short,2022-03-21 12:15,S-TP1,14215,2,57307,447,0.78,447,0.78,-88,-0.15,23360.5,2.34
391,Entry short,2022-03-21 11:30,ORB Short B (2c) S:78 H:0 T1:Round T2:2R ORB,14326.75,2,57307,447,0.78,447,0.78,-88,-0.15,23360.5,2.34
392,Exit long,2022-03-22 09:45,L-TP1,14635,2,58123,417,0.72,417,0.72,-49,-0.08,23777.5,2.38
